"filename", "language", "CSS", "Markdown", "TypeScript React", "TypeScript", "JSON", "XML", "JavaScript", "comment", "blank", "total"
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/interfaces/TokenListIF.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 1, 2, 20
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/interfaces/TokenPairIF.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/interfaces/UserIF.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/interfaces/exports.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/numbers.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 3, 6, 57
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/others/FramerMotionAnimations.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 3, 3, 53
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/queries.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 9, 4, 64
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/state/STATE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/state/graphDataSlice.ts", "TypeScript", 0, 0, 0, 612, 0, 0, 0, 17, 38, 667
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/state/receiptDataSlice.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 3, 6, 57
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/state/store.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 2, 3, 28
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/state/temp.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 1, 5, 26
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/state/tradeDataSlice.ts", "TypeScript", 0, 0, 0, 206, 0, 0, 0, 37, 12, 255
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/state/userDataSlice.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 2, 7, 51
"/Users/junioradessu/Documents/ambient-ts-app/src/utils/tokens.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 2, 6, 41
"Total", "-", 17001, 154, 33793, 10592, 31338, 2558, 219, 5343, 9276, 110274
